i,latency_ms
508,1058.092
509,144.108
510,485.261
511,503.579
512,1218.809
513,129.479
514,3979.870
515,1727.357
516,1580.177
517,1350.347
518,505.182
519,1081.450
520,278.028
521,673.012
522,360.403
523,616.528
524,92.386
525,908.356
526,1267.852
527,531.268
528,2471.779
529,2233.949
530,795.792
531,44.634
532,1545.044
533,1475.335
534,2182.049
535,1461.741
536,255.688
537,2501.139
538,1710.960
539,4394.594
540,192.184
541,512.476
542,1612.025
543,122.737
544,557.591
545,2220.322
546,35.144
547,30.132
548,841.214
549,552.065
550,365.239
551,335.121
552,1988.186
553,2023.802
554,321.948
555,665.282
556,73.850
557,60.134
558,11.852
559,2507.985
560,281.681
561,20.040
562,185.244
563,240.444
564,993.347
565,13.156
566,1549.100
567,1923.103
568,696.986
569,199.909
570,73.633
571,16.169
572,3567.741
573,47.981
574,316.705
575,2919.419
576,1517.398
577,23.523
578,90.683
579,965.776
580,1381.104
581,73.467
582,350.167
583,84.923
584,83.958
585,17.728
586,298.084
587,41.844
588,3753.867
589,46.638
590,64.017
591,201.611
592,793.466
593,185.899
594,64.151
595,593.635
596,1233.792
597,145.779
598,58.099
599,20.328
600,784.829
601,86.957
602,837.305
603,18.946
604,18.876
605,15.897
606,18.890
607,71.140
608,312.325
609,94.204
610,38.819
611,120.903
612,2193.800
613,62.407
614,35.195
615,984.799
616,2186.980
617,95.996
618,45.271
619,75.352
620,81.583
621,2531.433
622,129.313
623,1478.800
624,1344.682
625,98.955
626,104.729
627,49.976
628,1293.921
629,78.336
630,38.232
631,38.574
632,36.715
633,72.273
634,128.103
635,72.386
636,132.290
637,157.402
638,178.091
639,111.617
640,174.854
641,216.305
642,788.929
643,39.197
644,387.866
645,309.778
646,147.301
647,1160.058
648,174.082
649,588.067
650,126.194
651,1785.816
652,154.044
653,1273.305
654,278.686
655,180.271
656,125.382
657,903.819
658,510.929
659,187.027
660,628.146
661,1346.403
662,1026.091
663,250.837
664,636.236
665,1957.393
666,239.974
667,261.545
668,1462.189
669,661.515
670,160.891
671,3200.541
672,237.652
673,174.402
674,268.569
675,251.325
676,1583.495
677,221.589
678,141.911
679,4924.887
680,2594.319
681,221.042
682,224.151
683,295.485
684,276.907
685,232.485
686,279.798
687,1275.577
688,301.738
689,91.522
690,169.677
691,142.044
692,104.447
693,171.619
694,178.108
695,99.718
696,164.403
697,455.415
698,214.027
699,88.728
700,1286.920
701,146.063
702,1538.751
703,65.374
704,150.632
705,114.867
706,406.720
707,188.045
708,198.345
709,144.131
710,944.414
711,114.777
712,384.988
713,297.538
714,785.065
715,214.997
716,243.751
717,119.826
718,341.417
719,355.085
720,209.521
721,904.038
722,69.315
723,221.129
724,143.279
725,252.751
726,368.912
727,413.182
728,297.214
729,71.829
730,542.831
731,136.524
732,442.130
733,221.020
734,376.869
735,81.527
736,500.747
737,384.229
738,338.777
739,639.337
740,345.185
741,662.597
742,81.758
743,302.661
744,353.696
745,484.618
746,170.413
747,422.595
748,640.186
749,515.137
750,72.676
751,83.585
752,579.824
753,494.182
754,418.310
755,458.982
756,584.222
757,744.003
758,528.462
759,331.460
760,80.731
761,192.639
762,394.670
763,432.357
764,708.662
765,530.643
766,309.417
767,212.514
768,568.703
769,179.189
770,59.100
771,540.518
772,467.591
773,75.773
774,601.236
775,74.902
776,513.930
777,260.017
778,431.179
779,580.473
780,263.686
781,1861.109
782,626.250
783,397.392
784,273.369
785,681.839
786,772.727
787,186.614
788,514.389
789,89.196
790,374.884
791,814.315
792,86.105
793,721.364
794,866.777
795,860.625
796,795.089
797,115.809
798,287.336
799,158.688
800,866.674
801,629.860
802,325.597
803,243.278
804,77.704
805,196.967
806,835.401
807,995.075
808,797.048
809,596.584
810,382.528
811,199.503
812,305.702
813,569.278
814,507.647
815,278.337
816,1201.690
817,971.801
818,671.125
819,907.470
820,229.574
821,1666.278
822,470.594
823,74.523
824,442.751
825,1057.950
826,915.360
827,1071.425
828,567.787
829,247.509
830,1457.158
831,859.541
832,286.152
833,292.633
834,733.221
835,79.566
836,84.881
837,372.795
838,1755.384
839,182.380
840,698.361
841,864.611
842,1059.626
843,768.374
844,624.909
845,310.413
846,92.029
847,159.173
848,521.382
849,115.604
850,321.938
851,69.714
852,356.455
853,538.661
854,1147.008
855,483.246
856,1064.149
857,157.910
858,259.128
859,307.595
860,632.741
861,74.315
862,67.943
863,68.037
864,1289.195
865,295.781
866,759.448
867,261.223
868,1247.898
869,333.596
870,146.995
871,690.948
872,579.526
873,1343.707
874,77.094
875,84.481
876,77.447
877,501.854
878,1082.407
879,1424.766
880,267.970
881,80.016
882,755.437
883,401.061
884,317.720
885,798.937
886,204.197
887,688.099
888,308.574
889,1407.049
890,245.552
891,515.886
892,83.813
893,181.336
894,183.730
895,519.447
896,551.862
897,76.872
898,249.597
899,61.605
900,377.121
901,174.840
902,208.893
903,1171.244
904,587.567
905,227.487
906,1035.070
907,179.063
908,73.036
909,74.212
910,1667.323
911,128.903
912,567.177
913,130.319
914,743.239
915,1704.389
916,1421.627
917,60.173
918,732.626
919,1042.854
920,1733.073
921,144.391
922,189.025
923,78.703
924,555.480
925,585.629
926,214.083
927,353.759
928,376.127
929,1654.429
930,150.563
931,298.105
932,119.657
933,295.578
934,90.155
935,281.740
936,403.760
937,226.750
938,1779.458
939,727.078
940,1264.867
941,1319.890
942,859.434
943,260.123
944,612.972
945,993.690
946,185.553
947,795.374
948,220.905
949,166.486
950,188.633
951,605.425
952,344.597
953,549.813
954,499.666
955,177.639
956,826.956
957,1010.028
958,233.561
959,1129.001
960,1064.842
961,1055.425
962,160.819
963,1482.151
964,1564.213
965,79.391
966,153.980
967,578.049
968,1792.986
969,1925.715
970,1165.737
971,1204.359
972,1985.190
973,695.828
974,1241.988
975,1938.529
976,628.241
977,1716.071
978,1679.210
979,262.961
980,91.485
981,934.055
982,251.650
983,295.077
984,739.046
985,520.176
986,1381.696
987,194.152
988,1315.893
989,936.260
990,426.779
991,1259.016
992,100.454
993,412.648
994,477.537
995,213.058
996,2138.617
997,296.696
998,90.011
999,281.499
1000,1665.240
1001,136.610
1002,91.887
1003,1370.064
1004,157.042
1005,425.088
1006,679.822
1007,1812.316
1008,1272.451
1009,451.660
1010,381.543
1011,546.323
1012,2317.320
1013,429.962
1014,343.593
1015,75.727
1016,939.565
1017,165.699
1018,524.581
1019,382.178
1020,1281.188
1021,211.811
1022,1131.058
1023,605.205
1024,190.565
1025,1188.681
1026,65.752
1027,300.567
1028,84.562
1029,395.783
1030,499.663
1031,620.270
1032,291.094
1033,1305.198
1034,1131.403
1035,686.276
1036,75.101
1037,85.609
1038,200.242
1039,1833.273
1040,362.361
1041,75.868
1042,86.523
1043,200.866
1044,479.092
1045,2233.774
1046,1766.568
1047,1004.532
1048,738.137
1049,256.505
1050,685.174
1051,621.564
1052,545.264
1053,302.582
1054,84.469
1055,154.432
1056,194.745
1057,594.360
1058,208.698
1059,351.807
1060,494.977
1061,321.518
1062,227.339
1063,1132.177
1064,723.008
1065,82.982
1066,1111.432
1067,946.064
1068,95.888
1069,994.481
1070,333.832
1071,207.809
1072,63.718
1073,1077.862
1074,1994.244
1075,186.659
1076,733.791
1077,285.973
1078,308.848
1079,540.675
1080,673.200
1081,267.075
1082,325.171
1083,2664.047
1084,153.343
1085,556.858
1086,264.658
1087,851.662
1088,559.699
1089,479.514
1090,236.610
1091,590.507
1092,1259.766
1093,642.228
1094,190.578
1095,1182.200
1096,658.347
1097,530.532
1098,790.233
1099,82.583
1100,276.294
1101,246.492
1102,1456.207
1103,342.890
1104,744.884
1105,463.581
1106,223.760
1107,654.560
1108,1272.169
1109,982.702
1110,344.222
1111,223.444
1112,883.710
1113,82.694
1114,431.263
1115,80.062
1116,931.862
1117,531.024
1118,981.517
1119,1974.214
1120,223.321
1121,145.088
1122,1877.100
1123,293.805
1124,2135.235
1125,2364.555
1126,231.577
1127,1546.328
1128,699.800
1129,1210.601
1130,335.907
1131,253.522
1132,1858.869
1133,1370.958
1134,326.312
1135,131.059
1136,896.142
1137,276.703
1138,1355.485
1139,473.623
1140,70.699
1141,74.010
1142,269.265
1143,362.514
1144,73.580
1145,197.704
1146,188.416
1147,564.844
1148,160.844
1149,275.654
1150,2198.041
1151,294.159
1152,486.985
1153,745.635
1154,1640.690
1155,196.815
1156,413.734
1157,1120.631
1158,3290.863
1159,589.662
1160,935.018
1161,358.039
1162,1958.517
1163,761.713
1164,209.422
1165,578.251
1166,716.628
1167,237.125
1168,1019.948
1169,585.045
1170,1344.804
1171,1173.091
1172,783.962
1173,458.538
1174,518.386
1175,1149.941
1176,765.938
1177,1879.784
1178,304.053
1179,1061.255
1180,455.395
1181,1290.443
1182,1051.987
1183,428.236
1184,823.697
1185,260.137
1186,875.847
1187,481.635
1188,615.842
1189,91.110
1190,494.525
1191,1524.308
1192,1003.513
1193,485.408
1194,78.669
1195,1001.556
1196,148.323
1197,695.846
1198,1246.783
1199,80.435
1200,743.202
1201,721.198
1202,383.293
1203,406.825
1204,219.440
1205,904.555
1206,548.737
1207,364.913
1208,349.774
1209,2193.930
1210,248.497
1211,415.399
1212,427.599
1213,73.004
1214,596.839
1215,524.712
1216,377.515
1217,359.732
1218,151.537
1219,133.075
1220,324.514
1221,785.042
1222,125.259
1223,224.034
1224,219.066
1225,1504.331
1226,476.632
1227,977.479
1228,2528.451
1229,1810.433
1230,2031.249
1231,218.778
1232,485.411
1233,913.395
1234,779.596
1235,343.090
1236,1051.074
1237,482.740
1238,71.675
1239,70.983
1240,247.001
1241,1322.416
1242,1336.171
1243,436.160
1244,1804.776
1245,787.197
1246,134.376
1247,716.877
1248,219.249
1249,1466.358
1250,298.857
1251,964.329
1252,947.948
1253,693.126
1254,217.007
1255,804.730
1256,349.579
1257,196.678
1258,189.933
1259,462.757
1260,1149.715
1261,887.121
1262,2384.623
1263,160.296
1264,74.869
1265,683.993
1266,838.785
1267,289.648
1268,128.699
1269,674.454
1270,1129.450
1271,448.975
1272,81.580
1273,275.338
1274,88.184
1275,673.351
1276,610.256
1277,593.946
1278,553.490
1279,193.215
1280,325.927
1281,2985.980
1282,616.065
1283,4191.673
1284,637.640
1285,98.198
1286,898.226
1287,92.300
1288,266.430
1289,99.593
1290,737.724
1291,66.624
1292,290.443
1293,2538.809
1294,205.242
1295,542.056
1296,946.931
1297,307.620
1298,175.867
1299,1548.935
1300,81.962
1301,1214.497
1302,140.889
1303,1024.895
1304,68.719
1305,953.038
1306,320.418
1307,633.758
1308,919.727
1309,459.614
1310,189.185
1311,803.519
1312,883.438
1313,923.733
1314,84.600
1315,1224.099
1316,374.559
1317,371.306
1318,467.361
1319,746.152
1320,675.560
1321,274.145
1322,4291.016
1323,1468.089
1324,539.443
1325,1089.756
1326,650.545
1327,1281.489
1328,1043.159
1329,828.410
1330,941.705
1331,237.583
1332,98.973
1333,368.859
1334,689.357
1335,89.345
1336,348.254
1337,1009.777
1338,469.465
1339,563.369
1340,2224.654
1341,1475.586
1342,366.985
1343,394.032
1344,337.881
1345,4360.624
1346,809.678
1347,866.564
1348,652.433
1349,264.065
1350,96.422
1351,404.564
1352,267.001
1353,408.691
1354,776.635
1355,1017.088
1356,880.415
1357,550.311
1358,303.272
1359,367.512
1360,849.856
1361,444.743
1362,528.491
1363,100.498
1364,570.934
1365,430.002
1366,1509.293
1367,1681.449
1368,82.875
1369,339.796
1370,219.472
1371,2146.559
1372,410.319
1373,563.792
1374,2100.506
1375,842.691
1376,232.959
1377,509.006
1378,703.503
1379,582.223
1380,1114.822
1381,778.292
1382,86.039
1383,1282.162
1384,240.485
1385,565.665
1386,624.886
1387,765.263
1388,255.288
1389,436.002
1390,346.210
1391,75.189
1392,671.337
1393,75.377
1394,1391.551
1395,62.518
1396,72.322
1397,537.085
1398,2045.603
1399,1088.223
1400,62.812
1401,414.433
1402,53.762
1403,192.105
1404,1809.563
1405,1576.113
1406,1175.761
1407,664.516
1408,374.929
1409,310.806
1410,1178.134
1411,195.830
1412,451.167
1413,830.564
1414,20.797
1415,464.138
1416,191.222
1417,324.571
1418,1244.144
1419,920.822
1420,834.486
1421,97.107
1422,67.584
1423,1383.568
1424,126.852
1425,201.715
1426,735.034
1427,1416.023
1428,456.655
1429,722.959
1430,676.136
1431,21.688
1432,68.836
1433,1042.988
1434,41.409
1435,798.781
1436,24.317
1437,1454.277
1438,1193.321
1439,19.536
1440,599.090
1441,45.833
1442,2169.363
1443,330.903
1444,2611.295
1445,178.294
1446,1304.556
1447,351.318
1448,325.263
1449,1577.929
1450,414.132
1451,80.334
1452,1143.977
1453,386.119
1454,422.438
1455,1189.043
1456,748.133
1457,264.349
1458,810.562
1459,1030.234
1460,89.624
1461,231.932
1462,1921.715
1463,548.721
1464,665.659
1465,103.249
1466,675.941
1467,120.536
1468,298.998
1469,54.385
1470,1849.646
1471,1530.866
1472,85.386
1473,106.954
1474,43.919
1475,914.597
1476,48.007
1477,102.804
1478,351.913
1479,52.462
1480,297.168
1481,1595.170
1482,49.824
1483,84.783
1484,128.030
1485,205.746
1486,131.897
1487,1954.155
1488,176.459
1489,615.107
1490,1980.584
1491,121.605
1492,192.229
1493,676.615
1494,229.843
1495,1758.375
1496,207.137
1497,234.631
1498,196.671
1499,756.009
1500,456.985
1501,226.539
1502,197.150
1503,296.486
1504,747.368
1505,801.176
1506,300.118
1507,2358.604
1508,309.290
1509,1102.957
1510,596.311
1511,248.685
1512,259.965
1513,311.312
1514,240.819
1515,204.230
1516,855.720
1517,1174.334
1518,427.997
1519,1213.280
1520,274.780
1521,446.189
1522,608.834
1523,772.385
1524,229.708
1525,261.220
1526,373.973
1527,409.697
1528,318.138
1529,321.849
1530,1333.059
1531,562.074
1532,333.251
1533,361.474
1534,216.763
1535,646.226
1536,321.705
1537,462.835
1538,244.117
1539,278.797
1540,652.862
1541,1741.533
1542,297.458
1543,238.922
1544,306.106
1545,283.666
1546,191.628
1547,172.562
1548,156.592
1549,286.184
1550,383.734
1551,162.489
1552,146.777
1553,378.512
1554,374.352
1555,118.473
1556,292.507
1557,414.042
1558,323.372
1559,155.790
1560,135.065
1561,295.985
1562,431.516
1563,254.653
1564,248.286
1565,522.928
1566,1908.938
1567,618.484
1568,221.186
1569,394.532
1570,547.805
1571,226.430
1572,311.295
1573,117.978
1574,390.332
1575,537.318
1576,295.410
1577,289.174
1578,307.080
1579,508.737
1580,482.454
1581,665.471
1582,96.453
1583,602.754
1584,201.020
1585,625.082
1586,313.036
1587,445.512
1588,301.061
1589,404.525
1590,559.832
1591,392.674
1592,106.474
1593,571.696
1594,637.889
1595,530.012
1596,571.273
1597,251.904
1598,706.606
1599,785.526
1600,541.909
1601,210.758
1602,814.860
1603,115.152
1604,737.517
1605,2013.914
1606,181.011
1607,777.774
1608,601.985
1609,1003.675
1610,711.699
1611,877.498
1612,383.755
1613,668.474
1614,676.724
1615,1001.469
1616,858.359
1617,120.247
1618,930.462
1619,1007.845
1620,401.100
1621,105.262
1622,555.878
1623,374.551
1624,1012.455
1625,967.507
1626,521.104
1627,841.983
1628,908.557
1629,838.324
1630,885.421
1631,900.899
1632,977.973
1633,369.698
1634,136.284
1635,133.733
1636,963.406
1637,133.550
1638,145.274
1639,1205.638
1640,243.713
1641,1033.845
1642,713.879
1643,874.728
1644,119.167
1645,1107.028
1646,1252.785
1647,577.362
1648,346.720
1649,213.416
1650,1098.383
1651,1101.732
1652,107.493
1653,122.242
1654,1352.803
1655,455.808
1656,759.475
1657,430.396
1658,161.705
1659,216.908
1660,1425.344
