i,latency_ms
510,406.764
511,1593.359
512,2087.575
513,527.698
514,194.829
515,345.293
516,1138.956
517,454.513
518,4608.497
519,795.443
520,653.840
521,1120.639
522,1010.357
523,352.029
524,245.340
525,582.790
526,1766.852
527,83.743
528,418.921
529,261.348
530,775.170
531,2278.131
532,408.664
533,269.321
534,1686.482
535,1921.621
536,365.622
537,393.568
538,537.914
539,708.821
540,208.974
541,2456.504
542,526.822
543,1291.255
544,173.910
545,1230.709
546,713.448
547,119.353
548,1836.258
549,3914.128
550,2187.348
551,608.435
552,758.503
553,1378.648
554,1185.596
555,2101.920
556,4947.769
557,1952.439
558,60.355
559,35.875
560,3565.334
561,319.256
562,726.989
563,84.780
564,1281.167
565,1730.375
566,1995.481
567,803.617
568,529.843
569,516.914
570,2677.361
571,464.393
572,650.015
573,202.426
574,23.724
575,42.483
576,1485.530
577,21.131
578,742.604
579,515.317
580,370.154
581,42.645
582,809.460
583,3324.540
584,1604.079
585,313.458
586,1004.761
587,33.870
588,217.043
589,2046.194
590,19.736
591,20.549
592,61.720
593,27.661
594,1031.986
595,73.320
596,28.422
597,4134.583
598,191.165
599,483.339
600,1539.852
601,1305.529
602,2928.408
603,1133.971
604,19.823
605,100.578
606,178.328
607,21.497
608,21.623
609,171.339
610,75.831
611,17.358
612,2129.664
613,96.084
614,244.694
615,3025.817
616,1164.711
617,258.440
618,17.462
619,855.402
620,417.615
621,85.511
622,1293.870
623,346.988
624,46.734
625,226.875
626,1044.089
627,416.764
628,411.764
629,68.875
630,97.989
631,1274.105
632,42.479
633,80.067
634,13.888
635,120.819
636,383.463
637,122.458
638,560.475
639,1089.691
640,82.114
641,151.223
642,1015.435
643,505.896
644,2074.996
645,473.857
646,3189.116
647,87.870
648,33.077
649,2461.810
650,61.748
651,19.942
652,978.638
653,129.044
654,123.262
655,53.429
656,694.375
657,3526.193
658,125.531
659,97.967
660,622.611
661,59.389
662,844.952
663,51.740
664,80.423
665,762.437
666,385.388
667,3275.505
668,31.520
669,550.388
670,68.412
671,49.190
672,93.747
673,75.107
674,91.597
675,1287.049
676,63.645
677,123.706
678,234.114
679,162.079
680,118.626
681,147.566
682,112.674
683,134.529
684,162.081
685,23.117
686,34.594
687,91.432
688,110.887
689,200.449
690,72.215
691,103.234
692,17.007
693,795.681
694,14.579
695,47.184
696,92.744
697,129.684
698,60.442
