i,latency_ms
512,1608.207
513,1823.088
514,105.343
515,1509.557
516,1044.458
517,475.471
518,875.634
519,2957.780
520,84.385
521,488.213
522,2928.138
523,4369.563
524,464.568
525,103.631
526,2262.855
527,373.695
528,729.855
529,245.373
530,1745.612
531,1653.755
532,417.733
533,877.120
534,297.821
535,106.073
536,748.812
537,456.651
538,1886.395
539,1437.815
540,87.025
541,1164.618
542,85.196
543,761.464
544,1156.077
545,408.874
546,1580.158
547,1709.993
548,3320.553
549,83.656
550,568.479
551,1122.370
552,2367.965
553,3406.303
554,3399.023
555,1054.056
556,299.908
557,1292.008
558,198.029
559,95.302
560,1488.575
561,1650.301
562,645.250
563,1436.793
564,1488.191
565,774.640
566,246.077
567,670.159
568,768.375
569,518.146
570,423.276
571,601.580
572,357.405
573,788.567
574,430.867
575,4051.753
576,118.644
577,2333.294
578,477.211
579,1062.523
580,658.892
581,1052.970
582,276.179
583,190.261
584,395.359
585,1494.367
586,792.000
587,458.515
588,439.245
589,1045.153
590,475.209
591,131.723
592,288.060
593,93.737
594,217.431
595,1435.080
596,63.908
597,4956.756
598,892.806
599,1604.167
600,933.558
601,558.622
602,885.034
603,908.804
604,380.308
605,699.746
606,232.418
607,469.714
608,422.662
609,2135.074
610,4709.390
611,863.749
612,131.951
613,668.947
614,1390.740
615,16.074
616,15.909
617,1169.414
618,33.000
619,56.595
620,793.099
621,64.196
622,269.358
623,1100.981
624,1098.823
625,856.544
626,166.601
627,203.112
628,762.994
629,785.655
630,1925.199
631,47.210
632,31.051
633,175.854
634,1576.919
635,1111.987
636,34.197
637,294.687
638,48.050
639,1608.013
640,174.492
641,33.168
642,61.274
643,1862.881
644,447.593
645,28.711
646,529.579
647,3410.782
648,504.560
649,20.029
650,34.699
651,1246.699
652,695.419
653,379.351
654,850.828
655,37.827
656,46.135
657,353.326
658,440.786
659,14.143
660,2827.030
661,60.329
662,73.713
663,23.585
664,1777.165
665,63.168
666,20.402
667,16.262
668,2844.579
669,40.028
670,49.152
671,820.699
672,1206.815
673,851.523
674,49.351
675,368.191
676,610.190
677,306.853
678,73.105
679,1518.064
680,783.715
681,96.724
682,57.306
683,23.954
684,78.076
685,24.621
686,134.387
687,1492.294
688,61.452
689,634.943
690,100.272
691,976.511
692,43.222
693,21.834
694,20.375
695,1234.199
696,1773.256
697,24.288
698,22.928
699,21.406
700,28.314
701,62.846
702,41.580
703,2145.550
704,84.192
705,44.372
706,44.253
707,134.757
708,267.598
709,131.374
710,193.554
711,85.541
712,382.316
713,97.619
714,143.039
715,193.245
716,549.347
717,1769.127
718,1610.870
719,177.694
720,97.324
721,318.879
722,25.349
723,24.477
724,31.866
725,166.992
726,138.871
727,71.690
728,23.847
729,144.136
730,632.039
731,71.099
732,194.695
733,223.948
734,203.383
735,195.772
736,132.732
737,198.409
738,189.877
739,141.669
740,179.040
741,173.573
742,237.195
743,193.964
744,50.663
745,2216.307
746,200.881
747,60.405
748,1703.067
749,149.924
750,143.400
751,139.181
752,77.514
753,45.511
754,127.122
755,74.950
756,128.920
757,77.175
758,276.177
759,314.373
760,41.212
761,209.613
762,628.460
763,169.521
764,57.521
765,93.761
766,102.186
767,250.215
768,54.409
769,603.002
770,153.164
771,116.522
772,880.684
773,196.260
774,26.034
775,28.536
776,86.551
777,106.960
778,313.914
779,80.167
780,27.620
781,203.952
782,238.093
783,1007.405
784,46.806
785,525.430
786,98.532
787,202.744
788,25.466
789,218.018
790,168.047
791,168.108
792,163.675
793,1084.209
794,238.761
795,224.953
796,147.178
797,1350.193
798,229.214
799,25.820
800,48.528
801,197.503
802,104.610
803,30.389
804,66.109
805,2868.402
806,29.079
807,26.628
808,83.302
809,329.061
810,133.821
811,172.691
812,24.345
813,244.899
814,1134.867
815,1031.073
816,284.617
817,608.466
818,173.866
819,73.827
820,147.865
821,46.080
822,190.689
823,250.465
824,46.970
825,87.373
826,392.729
827,318.250
828,1655.111
829,300.183
830,408.161
831,186.894
832,81.978
833,21.420
834,144.398
835,197.210
836,263.126
837,312.613
838,23.188
839,346.430
840,260.094
841,72.760
842,291.098
843,228.753
844,68.029
845,63.328
846,25.457
847,238.178
848,22.642
849,250.379
850,391.567
851,20.532
852,241.485
853,96.062
854,22.392
855,253.916
856,77.253
857,242.301
858,47.774
859,154.716
860,1409.272
861,446.469
862,220.164
863,1446.380
864,301.236
865,431.017
866,288.889
867,25.116
868,309.345
869,23.941
870,599.109
871,230.383
872,315.885
